2026-01-01 21:08:14 | TAOUSDT | ВХОД |  | Score: 92 | Entry: 223.950000 | Exit: 226.110000 | Leverage: 20.0x | PnL: -0.96% ($-19.29) | Reason: TIMEOUT | Duration: 240m
2026-01-01 21:11:00 | LINEAUSDT | ВХОД |  | Score: 93 | Entry: 0.006547 | Exit: 0.006628 | Leverage: 20.0x | PnL: -1.24% ($-24.74) | Reason: TIMEOUT | Duration: 240m
2026-01-01 21:18:20 | CAKEUSDT | ВХОД |  | Score: 83 | Entry: 1.978000 | Exit: 1.975000 | Leverage: 20.0x | PnL: +0.15% ($+3.03) | Reason: TIMEOUT | Duration: 240m
2026-01-01 21:21:04 | DYDXUSDT | ВХОД |  | Score: 83 | Entry: 0.178300 | Exit: 0.180500 | Leverage: 20.0x | PnL: -1.23% ($-24.68) | Reason: TIMEOUT | Duration: 240m
2026-01-01 21:22:48 | JTOUSDT | ВХОД |  | Score: 79 | Entry: 0.400100 | Exit: 0.406600 | Leverage: 20.0x | PnL: -1.62% ($-32.49) | Reason: TIMEOUT | Duration: 240m
2026-01-01 21:46:12 | NOTUSDT | ВХОД |  | Score: 90 | Entry: 0.000542 | Exit: 0.000561 | Leverage: 20.0x | PnL: -3.37% ($-67.49) | Reason: SL_HIT | Duration: 198m
2026-01-01 21:50:00 | LYNUSDT | ВХОД |  | Score: 81 | Entry: 0.168350 | Exit: 0.162990 | Leverage: 20.0x | PnL: +3.18% ($+31.84) | Reason: TP2_HIT | Duration: 40m
2026-01-01 22:01:20 | MEMEUSDT | ВХОД | Пл/Пад | Score: 95 | Entry: 0.001033 | Exit: 0.001044 | Leverage: 20.0x | PnL: -1.06% ($-21.29) | Reason: TIMEOUT | Duration: 240m
2026-01-01 22:01:20 | 1000FLOKIUSDT | ВХОД |  | Score: 85 | Entry: 0.040010 | Exit: 0.040340 | Leverage: 20.0x | PnL: -0.82% ($-16.50) | Reason: TIMEOUT | Duration: 240m
2026-01-01 22:02:56 | ICPUSDT | ВХОД | Рост/Кор | Score: 89 | Entry: 2.989000 | Exit: 3.031000 | Leverage: 20.0x | PnL: -1.41% ($-28.10) | Reason: TIMEOUT | Duration: 240m
2026-01-01 22:05:40 | ETCUSDT | ВХОД |  | Score: 93 | Entry: 11.735000 | Exit: 11.933000 | Leverage: 20.0x | PnL: -1.69% ($-33.75) | Reason: TIMEOUT | Duration: 240m
